id,phase,epic,task,priority,dependencies,acceptance_criteria,status,owner_notes
CAP-0001,0,Setup,确认 Godot 4.7.2 可执行路径,P0,,GODOT_BIN 可用于 headless 与 editor；失败时有明确说明,done,已验证 4.7.2 stable official
CAP-0002,0,Setup,初始化 Git 与 .gitignore,P0,CAP-0001,缓存、构建、密钥与 raw AI 输出不进入 Git,done,沿用已批准基线；无需修改 ignore 或 LFS 规则
CAP-0003,0,Project,创建 Godot Compatibility 项目,P0,CAP-0001,项目可打开，无解析错误，主场景路径正确,done,headless 导入与主场景冒烟通过
CAP-0004,0,Player,创建灰盒四方向移动,P0,CAP-0003,斜向归一化，碰撞有效，最后朝向保存,done,自动测试覆盖移动归一化、真实场景移动与边界
CAP-0005,0,UI,创建暂停菜单,P0,CAP-0003,继续与退出有效，手柄可聚焦,done,键盘窗口实测通过；实体手柄需手工复核
CAP-0006,0,Testing,创建 headless 检查与测试入口,P0,CAP-0003,PowerShell 返回正确退出码并实际运行,done,零依赖测试与检查脚本实际通过
AUT-0050,0.5,Governance,纳入长期目标契约并更新 AGENTS 优先级,P0,CAP-0006,恢复会话先读契约且冲突规则明确,done,目标契约和 7 个历史入口边界已验证
AUT-0051,0.5,Planning,创建 PLANS 和自治状态恢复点,P0,AUT-0050,仅读仓库即可确认 Stage、证据、问题和下一任务,done,恢复顺序和当前状态已建立
AUT-0052,0.5,Quality,创建质量门、已知问题和发布准备文档,P0,AUT-0050,Stage 与 RC 证据状态可审计,done,依赖和恢复文档一并纳入治理门
AUT-0053,0.5,Testing,统一检查日志、JSON 结果和治理自检,P0,AUT-0051,单一脚本覆盖治理、导入、测试、烟雾和 diff,done,含超时、诊断、格式、cached diff 与并发安全
AUT-0054,0.5,CI,建立固定 Godot 4.7.2 Windows CI,P1,AUT-0053,CI 使用锁定官方 actions 并上传检查日志,done,固定 SHA256 与 windows-2022；远程实跑待 GIT-001
AUT-0055,0.5,Recovery,建立安全备份、回退和远程失效流程,P0,AUT-0051,可从 commit/tag 恢复且不依赖 hard reset,done,恢复文档和待同步策略已验证
AUT-0056,0.5,Review,完成独立治理审查和 QA 审查,P0,"AUT-0052,AUT-0053,AUT-0054,AUT-0055",High 以上问题为 0,done,两个只读审查完成且发现已修复
AUT-0057,0.5,Git,建立 Stage 0.5 恢复点并安全同步,P0,AUT-0056,原子 commit；远程不可确认时记录待同步,done,本地 481a140 已建立；push 受 GIT-001 影响并已记录
