keys,en,zh_CN
UI_HOME_VISUAL_PREVIEW,Stage 3 environment preview · Esc / Start: menu,阶段 3 环境预览 · Esc / Start：菜单
UI_SETTINGS_SESSION_APPLIED,Applied for this session only,已应用（仅本次运行生效）
UI_PHASE_0_LABEL,Prototype / Phase 0,Prototype / Phase 0
UI_PAUSE_TITLE,Paused,已暂停
UI_PAUSE_CONTINUE,Continue,继续
UI_PAUSE_SETTINGS,Settings,设置
UI_PAUSE_SAVE,Save,保存
UI_PAUSE_LOAD,Load,读取
UI_PAUSE_EXIT,Exit to Desktop,退出到桌面
UI_SAVE_SUCCESS,Game saved.,游戏已保存。
UI_SAVE_FAILED,Could not save the game.,无法保存游戏。
UI_LOAD_SUCCESS,Game loaded.,游戏已读取。
UI_LOAD_RECOVERED_BACKUP,Main save was damaged. Recovered the backup.,主存档已损坏，已恢复备份。
UI_LOAD_FAILED,Main save and backup could not be loaded.,主存档与备份均无法读取。
INTERACTION_PICKUP,Pick up,拾取
INTERACTION_GATHER,Gather,采集
INTERACTION_UNAVAILABLE,Unavailable,暂不可用
INTERACTION_PICKUP_SUCCESS,Picked up,已拾取
INTERACTION_GATHER_SUCCESS,Gathered,已采集
INTERACTION_REQUIRES_TOOL,Equip the required tool first.,请先装备所需工具。
INTERACTION_REST,Rest,休息
INTERACTION_REST_REQUESTED,Rest requested,已请求休息
INTERACTION_OPEN,Open,打开
INTERACTION_CLOSE,Close,关闭
INTERACTION_STORAGE_OPENED,Storage opened,储物箱已打开
INTERACTION_STORAGE_CLOSED,Storage closed,储物箱已关闭
INTERACTION_ENTER,Enter,进入
INTERACTION_DOOR_LOCKED,Locked,已上锁
INTERACTION_TRANSITION_REQUESTED,Travel requested,已请求前往
INTERACTION_TALK,Talk,交谈
INTERACTION_CONVERSATION_REQUESTED,Conversation requested,已请求交谈
INPUT_PROMPT_INTERACT_KEYBOARD,E,E
INPUT_PROMPT_INTERACT_GAMEPAD,South Button,南键
INPUT_PROMPT_GAMEPAD_BUTTON,Button %d,按钮 %d
INPUT_PROMPT_GAMEPAD_AXIS,Axis %d %s,摇杆轴 %d %s
INPUT_PROMPT_PAUSE_KEYBOARD,Escape,Esc
INPUT_PROMPT_PAUSE_GAMEPAD,Start,开始键
INPUT_PROMPT_UNKNOWN,Input,输入
DEBUG_OVERLAY_TITLE,Debug [F3],调试 [F3]
DEBUG_ZONE,Zone,区域
