asset_id,display_name,category,sub_category,status,source_method,model_or_tool,prompt_id,reference_asset_ids,raw_path,source_path,game_path,width,height,alpha_required,license_or_rights,human_edits,reviewer,approved_date,ai_disclosure_required,notes
ui_riverstone_frame_v001,原创河石羊皮纸9-slice面板,ui,panel_9slice,technical_candidate,manual_svg,Codex-authored SVG and pinned Godot renderer,MANUAL-UI-FRAME-A / MANUAL-UI-FRAME-B,NONE_MANUAL_ORIGINAL,,art/candidates/ui_storybook_frame_v001/CANDIDATE_MANIFEST.csv,,512,512,yes,original_project_asset; hand-authored editable vector,A first round and direct manual B revision,Codex primary visual review only,,no,Two source SVGs with exact hashes and build-only true RGBA/GPU previews; B technical shortlist only; no approved game path.
river_npc_first_round_v001,原创河岸居民主NPC候选,character,major_npc_concepts,visual_concept,ai_assisted,OpenAI built-in ImageGen; model undisclosed,NPC-A / NPC-B / NPC-C / NPC-D / NPC-A2,NONE_TEXT_ONLY,art/generated_raw/npc/bridgewright_round01/ + art/generated_raw/npc/first_round_20260923/ + art/generated_raw/npc/bridgewright_round02/,art/candidates/npc_river_residents_v001/CANDIDATE_MANIFEST.csv,,varies,varies,yes,original_project_asset; four clean text-only roots and A2 clean A reference,none; exact generated pixels retained,Codex primary visual review only,,yes,Four first-round concepts and one A-derived second-round edit; true RGBA but no independent master or game-ready approval.
player_ag4_head_layer_rejected_20260923,AG4头部拆层失败样本,character,player_rejected,rejected,ai_assisted_edit,OpenAI built-in ImageGen; model undisclosed,AG4-HEAD-LAYER-20260923,player_ag4_adaptation_v001:AG4,art/generated_raw/character/player_ag4_layers_20260923/rejected_head_layer_v001/head_layer_v001.png,docs/production/AG4_REJECTED_HEAD_LAYER_20260923.md,,1402,1122,yes,original_project_asset; AG4 clean reference,none; output rejected,Codex,,yes,Head and scarf enlarged/displaced; border Alpha nonzero; exact SHA and prompt in source review. Never use as candidate or game asset.
player_ag4_body_plate_v001,AG4身体局部补面,character,player_technical_candidate,technical_candidate,ai_assisted_edit,OpenAI built-in ImageGen; model undisclosed,AG4-BODY-PLATE-20260923,player_ag4_adaptation_v001:AG4,art/generated_raw/character/player_ag4_layers_20260923/body_clean_plate_v001.png,art/candidates/player_ag4_body_plate_v001/CANDIDATE_MANIFEST.csv,,1402,1122,yes,original_project_asset; AG1 to AG3 to AG4 clean lineage,none; original native image retained; scripted mask probe only,Codex independent visual review,,yes,Local underpainting only; native raised-head probe revealed shoulder seam and scarf ghost; not approved rig or game_ready.
player_capybara_v1,原创水豚主角,character,player,visual_concept,ai_assisted,OpenAI ImageGen built-in,CHAR-CLEAN-U1 / CHAR-CLEAN-V1 / CHAR-CLEAN-W1 / CHAR-CLEAN-Z1 / CHAR-CLEAN-AA1 / CHAR-CLEAN-AD1 / CHAR-CLEAN-AG1,REF-CAPYBARA-ANATOMY-CC0-001 / NONE_TEXT_ONLY,art/generated_raw/character/player_capybara_v1_clean_round_01/ + player_capybara_v1_clean_visual_round_02/,art/candidates/player_capybara_v1/CANDIDATE_MANIFEST.csv,,varies,varies,no,original_project_asset; CC0 anatomy reference or text-only clean lineage,selection and contact-sheet layout only,Codex,,yes,七张逐文件登记的不透明视觉概念；AG1 是当前解剖锚点；旧 C1/D1 链和 AH1 均隔离/拒绝；不得直接批准或进入游戏
player_capybara_cutout_proto_v001,原创水豚主角 2D cutout 技术原型,character,player_prototype,vector_technical_prototype,ai_assisted_procedural,Codex SVG / Godot 4.7.2,CUTOUT-PROTO-V001,NONE_TEXT_ONLY,,art/candidates/player_capybara_v1/vector_prototypes/chr_player_cutout_down_right_v001.svg,,1024,768,yes,original_project_asset,manual parameterized SVG,Codex,,yes,逐文件 SHA-256 见 PROTOTYPE_MANIFEST.csv；只证明 cutout/Alpha/144px 路线；未批准、未进入游戏
home_visual_v1,水岸家园视觉方向,environment,home_visual,visual_concept,ai_assisted,OpenAI ImageGen built-in,ENV-HOME-VISUAL-A1,NONE_TEXT_ONLY,art/generated_raw/environment/home_visual_v1/,art/candidates/environment/home_visual_v1/CANDIDATE_MANIFEST.csv,,1536,1024,no,original_project_asset; clean text-only,mood/composition selection only,Codex,2026-09-03,yes,用户确认 A1 精美并锁定为模块化重建目标；仅作家园色彩、氛围、水系骨架、功能邻接和截图构图参考；不是地图、技术候选、游戏截图或 game-ready 资产
env_shader_storybook_water_v1,世界坐标绘本水面,environment,water_shader,technical_prototype,procedural_code,Godot 4.7.2 Shader Language,NONE,NONE_TEXT_ONLY,,game/assets/shaders/storybook_water.gdshader,game/assets/shaders/storybook_water.gdshader,n/a,n/a,yes,original_project_asset,manual shader authoring and GPU tuning,Codex,,no,动态水与碰撞分离；减少动态冻结；高对比增强水陆分离；尚未 release approved
env_shader_storybook_ground_v1,世界坐标水粉地表,environment,ground_shader,technical_prototype,procedural_code,Godot 4.7.2 Shader Language,NONE,NONE_TEXT_ONLY,,game/assets/shaders/storybook_ground.gdshader,game/assets/shaders/storybook_ground.gdshader,n/a,n/a,no,original_project_asset,manual shader authoring and GPU tuning,Codex,,no,低频洗色与极弱纸粒；StyleProfile 驱动色板；尚未 release approved
home_cottage_v1,水岸家园主屋模块,environment,building,visual_concept,ai_assisted,OpenAI ImageGen built-in,ENV-HOME-COTTAGE-A1,home_visual_a1,art/generated_raw/environment/home_cottage_v1/,art/candidates/environment/home_cottage_v1/CANDIDATE_MANIFEST.csv,,1402,1122,no,original_project_asset; clean internal A1 reference,selection and technical rejection audit,Codex,,yes,视觉造型可用于分层重建；原图和一次背景提取均为烘焙棋盘 RGB；不得进入 game/assets
npc_otter_builder_v1,水獭木匠,character,npc,brief,ai_assisted,,NPC-CONCEPT-001,,,,,1024,1024,yes,original_project_asset,,,,yes,垂直切片主要 NPC
tile_water_set_v1,浅水与岸边地块,environment,tileset,brief,hybrid_ai_human,,TILE-WATER-001,,,,,64,64,varies,original_project_asset,,,,yes,需要人工制作 terrain 连接
broadleaf_foliage_v001,阔叶树冠水粉材质,environment,foliage_material,prototype_integrated,ai_assisted,OpenAI ImageGen built-in,FOLIAGE-MATERIAL-001,NONE_TEXT_ONLY,art/generated_raw/environment/foliage_material_v1/tex_broadleaf_foliage_v001.png,art/source_layers/foliage_material_v1/tex_broadleaf_foliage_v001.png,game/scenes/visual_prototypes/assets/materials/tex_broadleaf_foliage_v001.png,1254,1254,no,original_project_asset,organic mesh silhouette bounded UV and runtime contrast shading,Codex / foliage_review,2026-09-12,yes,不透明材质非透明树；Alpha来自网格；完整prompt和hash见foliage_material_v1；仅原型用途
tree_painted_v001,独立阔叶树原型,environment,tree,technical_prototype_integrated,procedural_code_with_ai_texture,Codex GDScript / Godot 4.7.2,TREE-BUILD-001,broadleaf_foliage_v001,,game/scenes/visual_prototypes/painted_foliage_2d.gd,game/scenes/visual_prototypes/painted_tree.tscn,n/a,n/a,yes,original_project_asset,organic crown trunk collision shadow and occlusion,Codex / foliage_review,2026-09-12,yes,三个确定性轮廓UV变体；正式枝叶层次和树干表现待ENV3-002；未release approved
dock_painted_v001,水岸家园码头原型,environment,dock,technical_prototype_integrated,procedural_code_with_ai_texture,Codex GDScript / Godot 4.7.2,DOCK-BUILD-001,cottage_material_atlas_v001,,game/scenes/visual_prototypes/painted_dock_2d.gd,game/scenes/visual_prototypes/painted_dock.tscn,384,192,yes,original_project_asset,original timber deck rope rails and shore collision clipping,Codex / dock_review,2026-09-12,yes,独立平台与192px入口；复用已审查木纹；固定世界Z约定；见DOCK_REVIEW.md；未release approved
waterwheel_painted_v001,水岸家园水车表现原型,environment,waterwheel,technical_prototype_integrated,procedural_code_with_ai_texture,Codex GDScript / Godot 4.7.2,WATERWHEEL-BUILD-001,cottage_material_atlas_v001,,game/scenes/visual_prototypes/painted_waterwheel_2d.gd,game/scenes/visual_prototypes/painted_waterwheel.tscn,n/a,n/a,yes,original_project_asset,original wheel/frame/flume meshes and flow animation,Codex / waterwheel_review,2026-09-12,yes,仅表现层；减少动态/停水/南北排序；复用已审查木纹；记录见WATERWHEEL_REVIEW.md；水生态模拟未完成
