source_path,target_path_or_section,preserved_unique_content,deletion_reason,baseline_commit,source_git_blob_sha256
README_FIRST.md,README.md,引擎/工作目录/运行/权利规则,重复初始化/人工批准入口失效,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,5e188e71ce94f10c1972305e90aac7885322cf2b438018410b12c487cca3c32f
00_START_HERE_E_DRIVE.md,README.md,唯一路径/GODOT_BIN/不嵌套工程,原压缩包解压与两条消息流程失效,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,22b03b9e8a2a676f1b95d08da7025408e627d6f59245455473ff1f7d6aa5c45a
MASTER_PROMPT_FOR_CODEX.md,AGENTS.md;docs/stages/stage-00/PLAN.md,代码边界/实际测试/Stage0验收,只做Stage0且禁止Git的旧控制失效,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,d76432c5fd00aa027ffb3e39eec190a143f998ae2fa446eeb7856883479f2378
SEND_TO_CODEX_FIRST_MESSAGE.txt,AGENTS.md,保护工作树/先检查后实现,重复旧启动指令,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,3d3d4f5a9f7750503a7b30b2dadbdcc6d2834825ec8b4236c03f09086390b694
SEND_TO_CODEX_AFTER_PLAN.txt,AGENTS.md,实际测试/版权/禁止伪造通过,逐Stage人工批准与禁止Git已替换,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,86b173673a03e239731e901afd92c1f26e620754022d7ff9c24ffc70aea0e1bf
SEND_TO_CODEX_MESSAGES.md,README.md;AGENTS.md,唯一路径和执行入口,重复两步启动消息,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,5ac31e34462a19a7f3264d2415b89aeb58a809a108f07f3b7ac9b60a33620e7a
CAPYBARA_COMPLETE_PLAN_FOR_CODEX.md,docs/design;docs/production;docs/stages,逐行比对模块化文件：独有旧范围/禁令/耗时估算均为被v2替换历史；旧ID/早期数量归属仍保存,旧聚合重复稿不再执行；原文可从基准Git恢复,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,8001cec2d76d311e68ab8d5fd7f398c2d7fac520f1c835c101d6a475e1799698
PACKAGE_MANIFEST.json,docs/stages/stage-00-5/LOG.md,package_name/version/date/file_count与原始ZIP清单性质,仅v1.1原启动包快照而非当前资产/构建manifest,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,35b1eb4a628c13f7b16e9b081d4f74cee82585b62c1dd3c2656133dc71d466b1
docs/01_GAME_DESIGN.md,docs/design/GAME_DESIGN.md,独有内容按主题完整迁移，历史/当前用途明确,归入唯一职责目录或阶段记录,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,00ef953b71189b2b5e4bbe806f487941c800f89071232f2862c1a0988dde2a99
docs/02_TECHNICAL_DESIGN.md,docs/design/TECHNICAL_DESIGN.md,独有内容按主题完整迁移，历史/当前用途明确,归入唯一职责目录或阶段记录,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,6290a7d5100ea8b719d5720746f2ee1d123cadfb8f54b568349e0f2a5bf714fd
docs/03_ART_BIBLE.md,docs/design/ART_BIBLE.md,独有内容按主题完整迁移，历史/当前用途明确,归入唯一职责目录或阶段记录,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,86b5d138cf0cf7e9c1aef46758eb60c8d2ba3d8bc5f3575ae671cf81b2069513
docs/CONTENT_CATALOG.csv,docs/design/CONTENT_CATALOG.csv,独有内容按主题完整迁移，历史/当前用途明确,归入唯一职责目录或阶段记录,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,41922fb93bd9902bbc5b60eece51d7c1b5e316c0eed4d35de94f81a240459f58
docs/04_AI_ASSET_PIPELINE.md,docs/production/ASSET_PIPELINE.md,独有内容按主题完整迁移，历史/当前用途明确,归入唯一职责目录或阶段记录,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,4a083825598765115ef79aaa0ddb6780f8dee86f03a1a11b3c32634420f6e54e
docs/09_LEGAL_AND_AI_POLICY.md,docs/production/RIGHTS_AND_AI_POLICY.md,独有内容按主题完整迁移，历史/当前用途明确,归入唯一职责目录或阶段记录,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,5412faf9cde4002bd88b32826612b1ef24aa17df3a028ae8a2ca0c4af24cf323
docs/DEPENDENCIES.md,docs/production/DEPENDENCIES.md,独有内容按主题完整迁移，历史/当前用途明确,归入唯一职责目录或阶段记录,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,a3ed8a46be14cc75567eca3d9d96b37843f2022c22e566de916f7bf0ed477ee2
docs/ASSET_MANIFEST.csv,docs/production/ASSET_MANIFEST.csv,独有内容按主题完整迁移，历史/当前用途明确,归入唯一职责目录或阶段记录,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,9b79ab215878092fd4d7400e673180ea77864d9249b3e9752a4f21085365c344
docs/KNOWN_ISSUES.md,docs/ISSUES.md,独有内容按主题完整迁移，历史/当前用途明确,归入唯一职责目录或阶段记录,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,8b4043e80acd49d10a0fe61a302754648b9cd494c32a95d07a917ee8a74684a8
docs/AUTONOMOUS_STATUS.md,docs/STATUS.md;docs/stages/stage-00*/LOG.md;docs/stages/stage-01/LOG.md;docs/stages/stage-02/LOG.md;docs/stages/stage-03/LOG.md,所有历史run/失败与旧作用域，当前事实短恢复点,全局历史状态重复,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,04f00b5b6e776de0c83d4b036e377e4a62b5c704855aa33dee950354da9bcb5f
docs/AUTONOMOUS_RECOVERY.md,AGENTS.md,独有内容按主题完整迁移，历史/当前用途明确,归入唯一职责目录或阶段记录,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,ce910c4210cb31ac773f21dcd95e5497e9720785ada2a119b429a4f858349a37
docs/REVIEW_HANDOFF.md,docs/stages/stage-03/LOG.md,独有内容按主题完整迁移，历史/当前用途明确,归入唯一职责目录或阶段记录,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,3a80b80e1c4a0c1c1e77e4c50322fc4b5bc8114e35995eb98fa9bcde35d5879d
docs/ENVIRONMENT_PREVIEW.md,README.md,独有内容按主题完整迁移，历史/当前用途明确,归入唯一职责目录或阶段记录,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,875d65fbb0d678b69c8b23ddf586c2d020ae3cd5001595564ae61cdc4366eab7
docs/BACKLOG.csv,docs/stages/*/PLAN.md,完整70稳定任务ID与验收/历史备注；CAP-0540移Stage11并去生产硬依赖,唯一任务源迁入阶段PLAN,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,51b355ced6014afa0f34336a24a262076f1920391bc2e39f9e09d3994274c70c
docs/05_ROADMAP.md,PLANS.md;docs/stages/*/PLAN.md,v2完整Stage与旧真实任务映射,旧v1编号/四区上限/计划时长不再约束,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,ad066685a2588b96ded57d65aff03d4bda184ba4770a15f535001d76a5471c78
docs/CHANGELOG.md,docs/stages/*/LOG.md,所有实际日期批次按语义Stage归属,停止全局流水双写,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,5087ac8f7d73cea80459bc1ad78826e91a70238b99ef6006cd11f094ebadd3f8
docs/10_DECISION_LOG.md,docs/stages/*/LOG.md;docs/design,DEC-001至033历史决定与现行设计/OPEN结论,停止竞争决策流水,79092c078c63c1e1d5a6d056ebcedf8401a9ac59,8ae6569baec8c012033243921c98ffae15249ad7ba3a8d6b36b812b9ebd9b84c
